Date,Day,Tasks,# of Tasks,Time Spent (mins),Working Hours (mins),Meetings/Training (mins),,Summary of Tasks,Total # of Tasks Done,Total Time Spent (mins),,Date,Items per Task,# of Tasks,Working Hours (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-May-26,Friday,PTO,,,,,,Creating Mock Up Endorsement,62,2202,,,Creating Mock Up Endorsement,,,,Commercial New Business Rating,,,,Commercial Renewal Quote,,,,Filing Intakes,,,,Commercial Renewal Quote,,,,Commercial Auto Endorsement,,,,Inspection,,,,Meetings/Trainings,,
2-May-26,Saturday,Weekend,,,,,,Commercial New Business Rating,97,5023,,4-May-26,SUB087009-02,1,30,4-May-26,SUB103650,,,4-May-26,,,,4-May-26,,,,4-May-26,,,,4-May-26,,,,,,,,,,,
3-May-26,Sunday,Weekend,,,,,,Meetings/Trainings,4,,,5-May-26,SUB099835-01,9,330,,SUB103763,,,,,,,,,,,,,,,,,,,,,,,,,,
4-May-26,Monday,,,,,,,Commercial Renewal Quote,14,,,,SUB100045-01,,,,SUB103660,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,1,30,30,,,Filing Intakes,7,,,,SUB093371-01,,,,SUB103773,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB087009-02,,,,,,Commercial Auto Endorsement,3,,,,SUB099932-01,,,,SUB103784,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,7,60,420,,,Inspection,3,,,,SUB096345-01,,,,SUB103810,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103650,,,,,,,190,,,,SUB102551-01,,,,SUB103645,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103763,,,,,,,,,,,SUB094291-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103660,,,,,,,,,,,SUB099292-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103773,,,,,,,,,,,SUB095149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103784,,,,,,,,,,6-May-26,SUB098430,7,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103810,,,,,,,,,,,SUB101554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103645,,,,,,,,,,,SUB093124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,SUB099468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-May-26,Tuesday,,,,,,,,,,,,SUB094185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,9,,330,,,,,,,,SUB097967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099835-01,,,,,,,,,,,SUB092849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100045-01,,,,,,,,,,7-May-26,SUB099965,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB093371-01,,,,,,,,,,,SUB092130,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099932-01,,,,,,,,,,,SUB097062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB096345-01,,,,,,,,,,,SUB098061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102551-01,,,,,,,,,,,SUB094380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB094291-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099292-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB095149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,2,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-May-26,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,4,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,7,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB093124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB094185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB097967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB092849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-May-26,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meeting w/ Jessica,1,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,8,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB092130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB097062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB094380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,330,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-May-26,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
